Animal,time,worngarea,majorl,minl,ecc,convex,circula,rightarea,perimeter
1072,1.1,1250,70.98348699,25.85712727,0.931293536,1455,0.577206202,22.11125,5.307277782
1072,1.1,1443,81.40139492,23.97364187,0.955647954,1590,0.585364235,25.525227,5.702298899
1072,1.1,1059,73.43405583,19.96941156,0.962315154,1230,0.543027563,18.732651,4.885002526
1072,1.1,1316,74.33082466,23.94057758,0.946711972,1448,0.623278633,23.278724,5.445587707
1072,1.2,1147,72.39229896,21.92503632,0.95303372,1295,0.598544149,20.289283,5.083917818
1072,1.2,851,57.04823836,19.53880893,0.939519188,873,0.676845583,15.053339,4.379067027
1072,1.2,1249,69.26666663,24.25353915,0.936694635,1381,0.662029768,22.093561,5.305154446
1072,1.2,1105,63.53357011,22.58547727,0.934680513,1150,0.693344025,19.546345,4.989970195
1072,2.1,1106,56.94350041,25.08134661,0.897772129,1163,0.793277662,19.564034,4.99222759
1072,2.1,1304,67.86032658,25.27611964,0.928043146,1389,0.706654979,23.066456,5.420702942
1072,2.1,1173,71.41727324,22.04573272,0.951162998,1309,0.630255754,20.749197,5.141215624
1072,2.1,1047,63.04709217,21.91006827,0.937672907,1086,0.678583921,18.520383,4.857246605
1072,2.2,1049,69.90370855,19.74416559,0.959282598,1112,0.585005994,18.555761,4.861883596
1072,2.2,1001,69.1486184,19.11588897,0.961029328,1072,0.582099806,17.706689,4.749346452
1072,2.2,1123,72.41797795,21.91187357,0.953125562,1327,0.589723313,19.864747,5.030448309
1072,2.2,1116,81.17251549,20.42147944,0.967836193,1379,0.487294972,19.740924,5.014745645
1072,3.1,1157,71.81944037,21.16269835,0.955600518,1226,0.603894799,20.466173,5.106031528
1072,3.1,1170,83.65071623,20.68085733,0.968957157,1418,0.457519449,20.69613,5.13463697
1072,3.1,944,64.60781976,20.2672364,0.949523358,1049,0.588250565,16.698416,4.612143484
1072,3.1,1119,67.64002133,23.19331177,0.939374349,1261,0.619528543,19.793991,5.021481371
1072,3.2,1148,67.11884327,23.98455185,0.933972635,1299,0.620900843,20.306972,5.086133516
1072,3.2,874,68.76573301,18.34496504,0.963758893,1103,0.511240434,15.460186,4.43784908
1072,3.2,1212,72.98214127,24.28152574,0.943030944,1459,0.528589464,21.439068,5.225984563
1072,3.2,1104,67.70002977,21.58070045,0.947832288,1186,0.633769575,19.528656,4.987711779
1072,4.1,1504,78.98273653,25.7689118,0.945280053,1681,0.640438025,26.604256,5.821578134
1072,4.1,1321,76.81873262,24.01178163,0.949892371,1541,0.587584414,23.367169,5.455922861
1072,4.1,877,69.85125128,18.14306688,0.965678961,1029,0.494618334,15.513253,4.445459001
1072,4.1,976,58.79875727,21.77486387,0.928900801,1045,0.681773649,17.264464,4.689663929
1072,4.2,1008,71.52575575,19.15113902,0.963487963,1112,0.547319177,17.830512,4.765923628
1072,4.2,981,66.99817433,20.04227986,0.954207146,1100,0.582924988,17.352909,4.701661043
1072,4.2,1444,70.22489336,26.95424457,0.923404818,1542,0.697425067,25.542916,5.704274406
1072,4.2,1036,68.79139258,22.37739829,0.945613075,1207,0.561245282,18.325804,4.831663611
1072,5.1,1445,78.59937635,25.25659313,0.946966178,1623,0.619599102,25.560605,5.706249228
1072,5.1,1644,98.27622446,23.52697815,0.970921905,1903,0.484142238,29.080716,6.086501301
1072,5.1,1663,76.6984128,30.66239273,0.916611685,1736,0.55434813,29.416807,6.121571652
1072,5.1,1782,97.66142577,24.32819889,0.968475827,1979,0.525325992,31.521798,6.336809662
1072,5.2,2259,109.617211,30.70356643,0.959971398,2719,0.457740426,24.905475,5.632647667
1072,5.2,1454,90.87034944,21.90609736,0.970507779,1682,0.51237306,16.03035,4.518941029
1072,5.2,1541,75.1030324,28.28998986,0.926342472,1696,0.626413532,16.989525,4.652172289
1072,5.2,1719,86.72775048,26.61849232,0.951735276,1867,0.601112397,18.951975,4.91351639
1072,6.1,1203,71.8515911,22.73165956,0.948636006,1292,0.610788783,13.263075,4.110430262
1072,6.1,1516,87.41061072,23.61054806,0.962829252,1634,0.541595352,16.7139,4.614281348
1072,6.1,1545,72.08883258,29.08929803,0.914970749,1655,0.688842178,17.033625,4.658206237
1072,6.1,1502,81.74693385,25.05185343,0.951884766,1674,0.606558631,16.55955,4.592925881
1072,6.2,2000,93.7242442,28.79417155,0.951637799,2232,0.589169051,22.05,5.299921884
1072,6.2,2431,124.040333,29.09145074,0.972108354,3001,0.427115511,26.801775,5.843148854
1072,6.2,2003,110.5147051,24.86891558,0.974352271,2238,0.470311498,22.083075,5.303895336
1072,6.2,2408,129.9822464,27.69502165,0.977037432,3095,0.428221202,26.5482,5.815441777
1072,7.1,3136,119.8719844,35.46466685,0.955233014,3436,0.55977462,34.5744,6.63655194
1072,7.1,2779,125.2739913,32.82932616,0.96505153,3533,0.483696312,30.638475,6.247391812
1072,7.1,3053,134.53244,31.63797236,0.971954292,3628,0.482284093,33.659325,6.548138745
1072,7.1,3836,149.6180629,40.26347619,0.963109897,5204,0.447562462,42.2919,7.339961297
1072,7.2,3739,125.9217561,44.93382053,0.934165818,4632,0.533736999,41.222475,7.246565187
1072,7.2,3281,119.61523,38.047915,0.948061905,3812,0.566491469,36.173025,6.788246211
1072,7.2,3049,117.0706738,37.64219644,0.94689805,3588,0.573864238,33.615225,6.543847697
1072,7.2,2107,100.4359773,29.89024737,0.954689098,2422,0.554853403,23.229675,5.43984767
1072,8.2,3723,132.6430813,38.51642503,0.956912497,4126,0.554391556,41.046075,7.231043744
1072,8.2,6098,133.2103454,63.37325014,0.879586928,6823,0.699932646,67.23045,9.254398163
1072,8.2,2428,128.5887165,30.30833799,0.971825906,3125,0.393268934,26.7687,5.839542343
1072,8.2,4475,159.0496834,39.43663057,0.96877241,5082,0.499240519,49.336875,7.927769062
1073,1.2,906,62.07830262,19.34142667,0.950224841,945,0.62629346,16.026234,4.518360844
